"","equipe","ano","rodada","dia","local","oponente","formacao","resultado","gp","gc","posse","totalchutes","%chgol","g_ch","cagc","%defesas","cleansheets","dif_faltas","impedimentos","cruzamentos","cortes","roubadas","pts","saldo_gols","cardscore","%gols_pen","%gols_contra","id_rodada","id_opp","opp_formacao","opp_gp","opp_gc","opp_posse","opp_totalchutes","opp_%chgol","opp_g_ch","opp_cagc","opp_%defesas","opp_cleansheets","opp_dif_faltas","opp_impedimentos","opp_cruzamentos","opp_cortes","opp_roubadas","opp_pts","opp_saldo_gols","opp_cardscore","opp_%gols_pen","%opp_gols_contra"
"1","América (MG)","2021",7,"dom","Em casa","Internacional","4-1-4-1","E",3,8,47,12.8571428571429,0.305956741671027,0.0347985347985348,4,0.828571428571429,1,-2.57142857142857,1.57142857142857,20.4285714285714,12.5714285714286,10,3,-5,2.71428571428571,0.142857142857143,0,"América (MG)_2021_7","Internacional_2021_7","4--3-3",8,11,52.1428571428571,11.1428571428571,0.388744588744589,0.118354978354978,4.42857142857143,0.68968253968254,1,3.85714285714286,1.14285714285714,21.1428571428571,10.4285714285714,9.85714285714286,9,-3,6.85714285714286,0.357142857142857,0.0285714285714286
"2","América (MG)","2021",9,"sáb","Em casa","Santos","4-2-2-2","V",9,9,40.8571428571429,12.8571428571429,0.350854700854701,0.106227106227106,4.85714285714286,0.785714285714286,2,1.28571428571429,2.28571428571429,18.1428571428571,13,10.5714285714286,9,0,2.71428571428571,0.142857142857143,0,"América (MG)_2021_9","Santos_2021_9","4-2-3-1",6,5,61.1428571428571,14.1428571428571,0.35827664399093,0.0995670995670996,2.85714285714286,0.702380952380952,4,-2.85714285714286,1.42857142857143,23,12.5714285714286,8.85714285714286,9,1,2.57142857142857,0,0
"3","América (MG)","2021",11,"sáb","Em casa","Atlético Mineiro","3-4-1-2","D",9,12,41.2857142857143,12,0.354895104895105,0.106227106227106,5.14285714285714,0.695238095238095,1,0.857142857142857,2.28571428571429,20.2857142857143,13.5714285714286,10.2857142857143,8,-3,2.85714285714286,0.142857142857143,0,"América (MG)_2021_11","Atlético Mineiro_2021_11","4--3-3",10,7,52.8571428571429,12.7142857142857,0.342697715818017,0.11972066154397,4.14285714285714,0.702380952380952,2,1.71428571428571,2,14.7142857142857,14,8,13,3,2.57142857142857,0,0
"4","América (MG)","2021",12,"seg","Em casa","Sport Recife","3-4-1-2","D",8,11,44.4285714285714,12.5714285714286,0.32215700965701,0.0943223443223443,5,0.714285714285714,1,1,2.14285714285714,23.1428571428571,14.4285714285714,10.2857142857143,8,-3,2.42857142857143,0.142857142857143,0,"América (MG)_2021_12","Sport Recife_2021_12","4-2-3-1",4,6,43.8571428571429,10.1428571428571,0.25503663003663,0.0548340548340548,4.14285714285714,0.832539682539682,3,3.57142857142857,1.57142857142857,16.8571428571429,11.5714285714286,9.28571428571429,6,-2,1.85714285714286,0.142857142857143,0.0714285714285714
"5","América (MG)","2021",15,"dom","Em casa","Fluminense","4-2-3-1","V",5,8,46.8571428571429,13.7142857142857,0.327849927849928,0.0621031746031746,4.57142857142857,0.726190476190476,2,0.428571428571429,1.71428571428571,23,14.8571428571429,8.71428571428571,8,-3,1.71428571428571,0,0,"América (MG)_2021_15","Fluminense_2021_15","4-2-3-1",4,5,53.4285714285714,11.1428571428571,0.396914395128681,0.0468697968697969,2.85714285714286,0.717687074829932,2,0.714285714285714,1.42857142857143,19.8571428571429,7.57142857142857,9.42857142857143,8,-1,1.85714285714286,0,0.285714285714286
"6","América (MG)","2021",17,"seg","Em casa","Bragantino","4-2-3-1","D",4,7,52,15.5714285714286,0.295691609977324,0.0343253968253968,3.85714285714286,0.716666666666667,1,-0.571428571428571,1.71428571428571,28.1428571428571,13.1428571428571,7.85714285714286,6,-3,1.42857142857143,0,0,"América (MG)_2021_17","Bragantino_2021_17","4-2-3-1",8,7,52.5714285714286,11.4285714285714,0.295704295704296,0.112878787878788,4.57142857142857,0.811904761904762,3,-1.14285714285714,1.42857142857143,18.1428571428571,11.4285714285714,10,9,1,2.14285714285714,0,0
"7","América (MG)","2021",18,"dom","Em casa","Ceará","4-2-3-1","V",6,6,50.2857142857143,16.5714285714286,0.301957274137725,0.0493629908103592,3.28571428571429,0.74047619047619,2,0.428571428571429,1.71428571428571,25.5714285714286,12.7142857142857,8,9,0,1.42857142857143,0,0,"América (MG)_2021_18","Ceará_2021_18","4-2-3-1",6,7,46.7142857142857,14.1428571428571,0.269190834228428,0.0639455782312925,3,0.596428571428571,3,1.57142857142857,1.28571428571429,16,12.7142857142857,10.7142857142857,9,-1,1.71428571428571,0,0
"8","América (MG)","2021",20,"sáb","Em casa","Atl Paranaense","3-4-1-2","V",7,4,48.1428571428571,16.8571428571429,0.314854099534551,0.0520084934558619,2.42857142857143,0.804761904761905,4,0.714285714285714,2.42857142857143,22.8571428571429,9.71428571428571,8.28571428571429,12,3,1.14285714285714,0,0,"América (MG)_2021_20","Atl Paranaense_2021_20","4--4-2",2,10,49.8571428571429,11.7142857142857,0.225729231086374,0.0225108225108225,2.85714285714286,0.595238095238095,1,2.42857142857143,1.14285714285714,24.2857142857143,11.1428571428571,10.8571428571429,1,-8,2.14285714285714,0,0
"9","América (MG)","2021",22,"dom","Em casa","Flamengo","4-2-3-1","E",7,5,46,16.8571428571429,0.285092194772646,0.0520084934558619,3.71428571428571,0.829761904761905,3,1.28571428571429,3,20.8571428571429,9.85714285714286,9.57142857142857,10,2,1,0,0,"América (MG)_2021_22","Flamengo_2021_22","4--3-3",13,4,55.7142857142857,15.1428571428571,0.397013614404919,0.122811970638058,3.14285714285714,0.823809523809524,3,0.428571428571429,1.85714285714286,14.1428571428571,12.7142857142857,8.85714285714286,14,9,2.57142857142857,0.0357142857142857,0
"10","América (MG)","2021",24,"qua","Em casa","Palmeiras","4-2-3-1","V",10,3,45.8571428571429,17.4285714285714,0.270352965747703,0.0864000278473963,3.71428571428571,0.925,4,2.14285714285714,2.71428571428571,17.8571428571429,9.42857142857143,10,15,7,1.14285714285714,0.0714285714285714,0,"América (MG)_2021_24","Palmeiras_2021_24","3--4-3",10,10,53,14,0.346991104133961,0.104205913134485,4.14285714285714,0.692857142857143,1,0.571428571428571,2.57142857142857,18.8571428571429,13,11.2857142857143,10,0,2.42857142857143,0,0
